time,PriceElectricPowerConstant,PriceElectricPowerDynamic,PriceElectricPowerHighlyDynamic,PriceDistrictHeatingPower,PriceGasPower,PriceBiomassPower,PriceSolarThermalPower,PriceElectricHistorical
161100.0,0.2,0.05,0.06756999999999999,0.1,0.07,0.2,0.0,0.0675699999999999
162000.0,0.2,0.05,0.07253,0.1,0.07,0.2,0.0,0.07253
162900.0,0.2,0.05,0.07705,0.1,0.07,0.2,0.0,0.07705
163800.0,0.2,0.05,0.07608,0.1,0.07,0.2,0.0,0.07608
164700.0,0.2,0.05,0.07584,0.1,0.07,0.2,0.0,0.07584
165600.0,0.2,0.05,0.08653,0.1,0.07,0.2,0.0,0.08653
166500.0,0.2,0.05,0.08606,0.1,0.07,0.2,0.0,0.08606
167400.0,0.2,0.05,0.08626,0.1,0.07,0.2,0.0,0.08626
168300.0,0.2,0.05,0.07501000000000001,0.1,0.07,0.2,0.0,0.07501
169200.0,0.2,0.05,0.08685999999999999,0.1,0.07,0.2,0.0,0.0868599999999999
170100.0,0.2,0.05,0.08553,0.1,0.07,0.2,0.0,0.08553
171000.0,0.2,0.05,0.08381,0.1,0.07,0.2,0.0,0.08381
171900.0,0.2,0.05,0.0829,0.1,0.07,0.2,0.0,0.0829
172800.0,0.2,0.05,0.08419,0.1,0.07,0.2,0.0,0.08419
173700.0,0.2,0.05,0.08318,0.1,0.07,0.2,0.0,0.08318
174600.0,0.2,0.05,0.08309,0.1,0.07,0.2,0.0,0.08309
175500.0,0.2,0.05,0.08298,0.1,0.07,0.2,0.0,0.08298
176400.0,0.2,0.05,0.08331000000000001,0.1,0.07,0.2,0.0,0.08331
177300.0,0.2,0.05,0.08275,0.1,0.07,0.2,0.0,0.08275
178200.0,0.2,0.05,0.08212,0.1,0.07,0.2,0.0,0.08212
179100.0,0.2,0.05,0.08193,0.1,0.07,0.2,0.0,0.08193
180000.0,0.2,0.05,0.07816,0.1,0.07,0.2,0.0,0.07816
180900.0,0.2,0.05,0.07928,0.1,0.07,0.2,0.0,0.07928
181800.0,0.2,0.05,0.08142,0.1,0.07,0.2,0.0,0.08142
182700.0,0.2,0.05,0.08081,0.1,0.07,0.2,0.0,0.08081
183600.0,0.2,0.05,0.07083,0.1,0.07,0.2,0.0,0.07083
184500.0,0.2,0.05,0.07357999999999999,0.1,0.07,0.2,0.0,0.0735799999999999
185400.0,0.2,0.05,0.07382999999999999,0.1,0.07,0.2,0.0,0.0738299999999999
186300.0,0.2,0.05,0.07326,0.1,0.07,0.2,0.0,0.07326
187200.0,0.2,0.05,0.0729,0.1,0.07,0.2,0.0,0.0729
188100.0,0.2,0.05,0.07363,0.1,0.07,0.2,0.0,0.07363
189000.0,0.2,0.05,0.07529999999999999,0.1,0.07,0.2,0.0,0.0752999999999999
189900.0,0.2,0.05,0.07573,0.1,0.07,0.2,0.0,0.07573
190800.0,0.2,0.05,0.07873000000000001,0.1,0.07,0.2,0.0,0.07873
191700.0,0.2,0.05,0.08009000000000001,0.1,0.07,0.2,0.0,0.08009
192600.0,0.2,0.05,0.08156999999999999,0.1,0.07,0.2,0.0,0.0815699999999999
193500.0,0.2,0.05,0.08316,0.1,0.07,0.2,0.0,0.08316
194400.0,0.2,0.05,0.0835,0.1,0.07,0.2,0.0,0.0835
195300.0,0.2,0.05,0.08170000000000001,0.1,0.07,0.2,0.0,0.0817
196200.0,0.2,0.05,0.08352,0.1,0.07,0.2,0.0,0.08352
197100.0,0.2,0.05,0.08543,0.1,0.07,0.2,0.0,0.08543
198000.0,0.2,0.05,0.09081,0.1,0.07,0.2,0.0,0.09081
198900.0,0.2,0.05,0.09137999999999999,0.1,0.07,0.2,0.0,0.0913799999999999
199800.0,0.2,0.05,0.09183,0.1,0.07,0.2,0.0,0.09183
200700.0,0.2,0.05,0.09207,0.1,0.07,0.2,0.0,0.09207
201600.0,0.2,1.0,0.09505,0.1,0.07,0.2,0.0,0.09505
202500.0,0.2,1.0,0.08706,0.1,0.07,0.2,0.0,0.08706
203400.0,0.2,1.0,0.0829,0.1,0.07,0.2,0.0,0.0829
204300.0,0.2,1.0,0.08662,0.1,0.07,0.2,0.0,0.08662
205200.0,0.2,1.0,0.08322,0.1,0.07,0.2,0.0,0.08322
206100.0,0.2,1.0,0.08125,0.1,0.07,0.2,0.0,0.08125
207000.0,0.2,1.0,0.07959000000000001,0.1,0.07,0.2,0.0,0.07959
207900.0,0.2,1.0,0.08154,0.1,0.07,0.2,0.0,0.08154
208800.0,0.2,1.0,0.08375,0.1,0.07,0.2,0.0,0.08375
209700.0,0.2,1.0,0.08123999999999999,0.1,0.07,0.2,0.0,0.0812399999999999
210600.0,0.2,1.0,0.07891,0.1,0.07,0.2,0.0,0.07891
211500.0,0.2,1.0,0.08336,0.1,0.07,0.2,0.0,0.08336
212400.0,0.2,1.0,0.07784999999999999,0.1,0.07,0.2,0.0,0.0778499999999999
213300.0,0.2,1.0,0.07856999999999999,0.1,0.07,0.2,0.0,0.0785699999999999
214200.0,0.2,1.0,0.0836,0.1,0.07,0.2,0.0,0.0836
215100.0,0.2,1.0,0.08486,0.1,0.07,0.2,0.0,0.08486
216000.0,0.2,1.0,0.07642,0.1,0.07,0.2,0.0,0.07642
216900.0,0.2,1.0,0.078,0.1,0.07,0.2,0.0,0.078
217800.0,0.2,1.0,0.08186,0.1,0.07,0.2,0.0,0.08186
218700.0,0.2,1.0,0.08623,0.1,0.07,0.2,0.0,0.08623
219600.0,0.2,1.0,0.07993,0.1,0.07,0.2,0.0,0.07993
220500.0,0.2,1.0,0.07905,0.1,0.07,0.2,0.0,0.07905
221400.0,0.2,1.0,0.08378000000000001,0.1,0.07,0.2,0.0,0.08378
222300.0,0.2,1.0,0.09183,0.1,0.07,0.2,0.0,0.09183
223200.0,0.2,1.0,0.07919,0.1,0.07,0.2,0.0,0.07919
224100.0,0.2,1.0,0.08161,0.1,0.07,0.2,0.0,0.08161
225000.0,0.2,1.0,0.08838,0.1,0.07,0.2,0.0,0.08838
225900.0,0.2,1.0,0.09298000000000001,0.1,0.07,0.2,0.0,0.09298
226800.0,0.2,1.0,0.08220000000000001,0.1,0.07,0.2,0.0,0.0822
227700.0,0.2,1.0,0.08589,0.1,0.07,0.2,0.0,0.08589
228600.0,0.2,1.0,0.08895,0.1,0.07,0.2,0.0,0.08895
229500.0,0.2,1.0,0.09855,0.1,0.07,0.2,0.0,0.09855
230400.0,0.2,1.0,0.08961,0.1,0.07,0.2,0.0,0.08961
231300.0,0.2,0.05,0.09270999999999999,0.1,0.07,0.2,0.0,0.0927099999999999
232200.0,0.2,0.05,0.09565,0.1,0.07,0.2,0.0,0.09565
233100.0,0.2,0.05,0.10222,0.1,0.07,0.2,0.0,0.10222
234000.0,0.2,0.05,0.09408,0.1,0.07,0.2,0.0,0.09408
234900.0,0.2,0.05,0.09443,0.1,0.07,0.2,0.0,0.09443
235800.0,0.2,0.05,0.09609000000000001,0.1,0.07,0.2,0.0,0.09609
236700.0,0.2,0.05,0.10021,0.1,0.07,0.2,0.0,0.10021
237600.0,0.2,0.05,0.0974,0.1,0.07,0.2,0.0,0.0974
238500.0,0.2,0.05,0.09953000000000001,0.1,0.07,0.2,0.0,0.09953
239400.0,0.2,0.05,0.09190000000000001,0.1,0.07,0.2,0.0,0.0919
